,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
5400,"[[], [5, 3], [], [], [9], [], [2, 0], [4, 9], [6, 1], []]","[3, -3, -4, -4, -3, -2, 1, -2, None, -4]",122,127,"{8, 0, 6}",9,2.0,2.0,best_second,wb651fe0,8.75352933651643,7.2950564164626295,8.962519832949534,4,4,0,1,1,2
5402,"[[3, 4], [], [9, 0], [], [], [8, 6], [], [], [6], [1, 7]]","[0, 0, None, 1, -1, 4, 1, 2, 1, 0]",124,129,"{9, 2, 7}",2,2.0,2.0,best_third,wb651fe0,8.90449432889673,7.550661243105336,9.134107065976593,2,2,0,1,1,2
5404,"[[9], [5, 2], [3, 6], [], [], [4, 7], [], [], [0, 9], []]","[4, None, 3, -2, 4, -1, -3, 3, 3, 2]",126,131,"{1, 4, 5}",2,4.0,1.0,best_second,wb651fe0,8.433811582477187,8.095293776844647,8.97182934353085,3,3,0,1,1,2
5406,"[[2, 5], [], [], [], [1, 7], [], [3], [], [6, 3], [4, 0]]","[-2, -4, -4, -1, 4, -1, 0, 4, 1, None]",128,133,"{9, 4, 7}",11,0.0,3.0,best_second,wb651fe0,7.540621528657152,7.325148957955576,8.131530710604252,8,8,0,1,1,2
5408,"[[], [], [], [0, 2], [9, 8], [3, 6], [7, 1], [], [], [8]]","[1, 2, -2, 1, 3, None, -4, 1, -1, 4]",130,135,"{1, 5, 6}",4,6.0,3.0,best_second,wb651fe0,8.778325928634482,7.492760300922379,9.022322622637347,2,-2,4,0,0,2
5410,"[[2, 6], [], [], [4, 8], [], [1], [], [5, 1], [], [3, 0]]","[-4, -1, 2, 4, 4, -2, 0, -3, -1, None]",132,137,"{9, 3, 4}",9,5.0,2.0,best_second,wb651fe0,7.367708572374371,6.605297920948202,7.750184162257837,8,8,0,1,1,2
5412,"[[9, 6], [], [8, 4], [], [], [3, 1], [], [5, 2], [], [6]]","[-2, -4, -4, 4, -1, 4, -3, None, 3, -1]",134,139,"{3, 5, 7}",10,8.0,4.0,best_second,wb651fe0,7.775695749915245,6.57507584059962,8.038512020976814,8,8,0,1,1,2
5414,"[[], [3, 2], [], [], [8], [9, 0], [4, 8], [5, 1], [], []]","[4, -4, 2, -4, -3, 4, 3, None, 1, -3]",136,141,"{0, 5, 7}",11,0.0,6.0,best_second,wb651fe0,7.961718815981365,7.147559271189454,8.328209491748732,8,8,0,1,1,2
5416,"[[1, 3], [2, 7], [], [9, 4], [], [8], [5, 8], [], [], []]","[None, -4, -3, 1, -1, -2, 3, -1, 2, 1]",138,143,"{0, 9, 3}",6,2.0,2.0,best_second,wb651fe0,8.293549515060345,7.2633296174768365,8.598588829620232,2,2,0,1,1,2
5418,"[[], [], [3, 9], [7, 1], [5], [], [4, 5], [], [], [8, 0]]","[-2, -1, None, -4, -1, 2, -3, -2, 3, 4]",140,145,"{8, 9, 2}",10,6.0,1.0,best_second,wb651fe0,7.720461694599721,6.489204931325316,7.976251943745623,7,7,0,1,1,2
5420,"[[2, 3], [4, 6], [], [], [6], [], [], [], [0, 9], [5, 7]]","[-1, 3, 1, 0, -1, -1, -2, -4, None, -3]",142,147,"{8, 0, 2}",4,1.0,3.0,best_second,wb651fe0,8.433594167539923,7.0604763659998016,8.659213451436667,0,0,0,1,1,2
