,graph,reward,trialNumber,difficulty,difficulty_2,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df,unchoosen_diff
2162,"[[], [], [3, 0], [], [2, 10], [7, 1], [], [1], [], [], [6, 9]]","[3, 4, 4, 0, None, -3, 4, 2, -4, 2, 1]",343,3,1.0,best_third,w362e427,7.175489713624222,7.560080465021827,8.078998258685155,7,7,0,1,1,2,2.0
2164,"[[8, 4], [9], [], [1, 9], [2, 10], [], [], [], [7, 5], [], []]","[None, 1, -2, -3, -2, 0, 2, 2, -3, 3, 0]",247,2,3.0,best_third,w362e427,8.375168691386818,6.561030665896572,8.52595469708481,-1,-1,0,1,1,2,2.0
2165,"[[2, 6], [], [9, 1], [], [], [8, 3], [10, 7], [], [3], [], []]","[None, -3, -3, -1, 4, -1, 4, -2, 3, -2, 4]",67,11,6.0,best_second,w362e427,7.672292455628756,7.1891677384203225,8.152486075780242,8,8,0,1,1,2,1.0
2166,"[[], [], [7, 8], [], [10, 6], [], [], [1, 3], [5, 9], [], [6]]","[-1, -2, None, 4, 4, -4, 3, -1, -3, -2, 3]",217,8,5.0,best_second,w362e427,8.462948176563842,7.024649030453636,8.67573421954479,3,3,0,1,1,2,2.0
2168,"[[5, 8], [], [], [], [6, 0], [], [3, 9], [1], [], [], [7, 1]]","[-2, 3, 0, 2, None, 4, 3, -1, -2, 3, -2]",351,5,0.0,best_second,w362e427,7.071573364211532,7.042286171939743,7.749753406274437,6,5,1,0,1,2,6.0
2170,"[[6, 10], [], [4, 3], [], [], [], [10], [2, 8], [5, 9], [], []]","[2, -3, 0, -3, -1, 2, 0, None, -2, 0, 3]",167,2,3.0,best_third,w362e427,8.323122887587735,8.289037098278483,8.999248901686114,0,-1,1,0,0,2,2.0
2172,"[[], [], [8, 9], [0, 1], [], [7, 10], [5, 3], [], [9], [], []]","[4, -1, -3, 4, 2, -3, None, 4, -3, -1, -1]",285,8,5.0,best_second,w362e427,7.397561535524052,6.626717749249025,7.777373602657861,8,8,0,1,1,2,5.0
2174,"[[6], [], [0, 6], [7, 8], [9, 3], [], [], [], [], [1, 10], []]","[-4, 3, 4, -3, None, -2, -4, -1, -3, 1, -3]",17,8,4.0,best_second,w362e427,7.867105500316739,6.838405200847344,8.17244681834278,4,4,0,1,1,2,2.0
2175,"[[], [9, 7], [10, 0], [2, 1], [], [8, 4], [], [], [4], [], []]","[4, -3, 1, None, 0, -2, 3, -2, 0, -4, -4]",323,10,3.0,best_second,w362e427,7.31986492980897,7.456454555176209,8.083328608786374,5,5,0,1,1,2,2.0
2179,"[[], [], [7], [], [8, 1], [], [5, 0], [], [], [2, 7], [6, 4]]","[-1, 1, -4, 1, 0, 0, 4, 4, -1, 0, None]",365,3,5.0,best_second,w362e427,7.283448228756631,6.4425401664681985,7.6415644412609725,4,4,0,1,1,2,2.0
